node,eigenvector,betweenes,degree
tarly,0.9981367212605938,0.0,0.09302325581395349
targaryen,0.024613510564018767,0.0016918912267749476,0.11627906976744186
tyrell,0.02461351031457483,0.004567666860025663,0.11627906976744186
umber,0.02433850030007543,0.0,0.023255813953488372
trant,0.024338500297923456,0.0,0.046511627906976744
whent,0.02433850029787146,0.0,0.046511627906976744
tully,0.024338500295664263,0.0002768549280177187,0.06976744186046512
yarwyck,0.011896928380055,0.0,0.023255813953488372
stark,0.0005502410789921642,0.5985120146249714,0.7441860465116279
thorne,0.0002698542994962669,0.09283868586194166,0.11627906976744186
toyne,0.00026978065527543543,0.0,0.023255813953488372
strickland,5.2294844437306134e-06,0.0,0.023255813953488372
stokeworth,5.229484442051402e-06,0.0,0.023255813953488372
sarsfield,5.229484440358311e-06,0.0,0.023255813953488372
selmy,5.229484439581893e-06,0.046511627906976744,0.06976744186046512
marbrand,5.2294844380028614e-06,0.0,0.023255813953488372
slynt,5.229482237127821e-06,0.0,0.046511627906976744
martell,5.2294800878070275e-06,0.0006459948320413436,0.09302325581395349
mormont,5.229441298400784e-06,0.0461442458120199,0.16279069767441862
karstark,7.377754192478005e-08,0.0,0.06976744186046512
lannister,7.372797740226399e-08,0.2692682240854998,0.46511627906976744
locke,1.2874464344217683e-10,0.023398196487897482,0.06976744186046512
bracken,1.2874294666616744e-10,0.0,0.046511627906976744
cerwyn,1.2874271093643583e-10,0.0,0.023255813953488372
greyjoy,8.348152849568644e-11,0.005191689078732269,0.13953488372093023
crakehall,2.7200464103316335e-15,0.0,0.046511627906976744
payne,2.635105488505698e-15,0.0,0.023255813953488372
hunt,2.3037127760971994e-15,0.0,0.023255813953488372
dustin,1.8043415219429007e-15,0.0,0.023255813953488372
dayne,1.5959455978986623e-15,0.0,0.046511627906976744
crane,1.249000902703301e-15,0.0,0.023255813953488372
heddle,-4.3857054613370193e-16,0.0,0.023255813953488372
reed,-9.750080186502201e-16,0.0,0.023255813953488372
marsh,-2.386979502944086e-15,0.0,0.023255813953488372
arryn,-2.6652562844702954e-15,0.013979855508094708,0.18604651162790697
manderly,-2.8865798640254066e-15,0.0,0.046511627906976744
clegane,-8.087362486530216e-14,0.008571077009615213,0.11627906976744186
egen,-8.23740349602991e-14,0.0,0.046511627906976744
baelish,-8.248431104323423e-14,0.05490252948724709,0.27906976744186046
frey,-8.264530997371873e-14,0.003045404208194905,0.11627906976744186
cassel,-2.2013012051433046e-12,0.0,0.046511627906976744
royce,-2.285227562737191e-12,0.0,0.06976744186046512
baratheon,-2.289957449157358e-12,0.07559721563043821,0.2558139534883721
bolton,-4.5261895764701027e-11,0.0649343458313558,0.20930232558139533
